tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,penduduk_total_kecamatan,rasio_dpt_terhadap_penduduk_kelurahan,pendapatan_per_kapita,tingkat_pengangguran,kepadatan_penduduk,ipm,jumlah_usia_17_24_kec,jumlah_usia_25_44_kec,jumlah_usia_45_plus_kec,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2019,BANJARMASIN BARAT,BASIRIH,1,2019-BANJARMASIN BARAT-BASIRIH-001,284,229,80.71,284,22764,137895,1.25,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,2,2019-BANJARMASIN BARAT-BASIRIH-002,235,155,66.14,235,22764,137895,1.03,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,3,2019-BANJARMASIN BARAT-BASIRIH-003,268,189,70.5,268,22764,137895,1.18,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,4,2019-BANJARMASIN BARAT-BASIRIH-004,283,222,78.54,283,22764,137895,1.24,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,5,2019-BANJARMASIN BARAT-BASIRIH-005,279,207,74.35,279,22764,137895,1.23,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,6,2019-BANJARMASIN BARAT-BASIRIH-006,260,158,60.879999999999995,260,22764,137895,1.14,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,7,2019-BANJARMASIN BARAT-BASIRIH-007,281,189,67.39,281,22764,137895,1.23,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,8,2019-BANJARMASIN BARAT-BASIRIH-008,215,178,82.94,215,22764,137895,0.94,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,9,2019-BANJARMASIN BARAT-BASIRIH-009,220,168,76.41,220,22764,137895,0.97,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,10,2019-BANJARMASIN BARAT-BASIRIH-010,234,190,81.4,234,22764,137895,1.03,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,11,2019-BANJARMASIN BARAT-BASIRIH-011,253,181,71.39,253,22764,137895,1.11,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,12,2019-BANJARMASIN BARAT-BASIRIH-012,276,216,78.11,276,22764,137895,1.21,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,13,2019-BANJARMASIN BARAT-BASIRIH-013,294,228,77.47,294,22764,137895,1.29,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,14,2019-BANJARMASIN BARAT-BASIRIH-014,280,183,65.5,280,22764,137895,1.23,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,15,2019-BANJARMASIN BARAT-BASIRIH-015,279,214,76.86,279,22764,137895,1.23,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,16,2019-BANJARMASIN BARAT-BASIRIH-016,233,196,83.91,233,22764,137895,1.02,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,17,2019-BANJARMASIN BARAT-BASIRIH-017,158,138,87.27,158,22764,137895,0.69,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,18,2019-BANJARMASIN BARAT-BASIRIH-018,235,192,81.88,235,22764,137895,1.03,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,19,2019-BANJARMASIN BARAT-BASIRIH-019,270,211,78.09,270,22764,137895,1.19,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,20,2019-BANJARMASIN BARAT-BASIRIH-020,289,218,75.43,289,22764,137895,1.27,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,21,2019-BANJARMASIN BARAT-BASIRIH-021,259,190,73.49,259,22764,137895,1.14,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,22,2019-BANJARMASIN BARAT-BASIRIH-022,235,152,64.86,235,22764,137895,1.03,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,23,2019-BANJARMASIN BARAT-BASIRIH-023,259,202,78.13,259,22764,137895,1.14,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,25,2019-BANJARMASIN BARAT-BASIRIH-025,208,155,74.35,208,22764,137895,0.91,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,26,2019-BANJARMASIN BARAT-BASIRIH-026,248,194,78.16,248,22764,137895,1.09,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,27,2019-BANJARMASIN BARAT-BASIRIH-027,255,191,74.72,255,22764,137895,1.12,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,28,2019-BANJARMASIN BARAT-BASIRIH-028,224,129,57.55,224,22764,137895,0.98,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,29,2019-BANJARMASIN BARAT-BASIRIH-029,243,174,71.63,243,22764,137895,1.07,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,30,2019-BANJARMASIN BARAT-BASIRIH-030,200,106,53.0,200,22764,137895,0.88,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,32,2019-BANJARMASIN BARAT-BASIRIH-032,274,169,61.56,274,22764,137895,1.2,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,33,2019-BANJARMASIN BARAT-BASIRIH-033,208,142,68.1,208,22764,137895,0.91,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,34,2019-BANJARMASIN BARAT-BASIRIH-034,241,146,60.650000000000006,241,22764,137895,1.06,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,35,2019-BANJARMASIN BARAT-BASIRIH-035,279,173,62.17,279,22764,137895,1.23,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,36,2019-BANJARMASIN BARAT-BASIRIH-036,287,206,71.81,287,22764,137895,1.26,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,37,2019-BANJARMASIN BARAT-BASIRIH-037,289,205,70.93,289,22764,137895,1.27,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,38,2019-BANJARMASIN BARAT-BASIRIH-038,262,187,71.45,262,22764,137895,1.15,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,39,2019-BANJARMASIN BARAT-BASIRIH-039,297,221,74.29,297,22764,137895,1.3,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,40,2019-BANJARMASIN BARAT-BASIRIH-040,289,203,70.24,289,22764,137895,1.27,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,41,2019-BANJARMASIN BARAT-BASIRIH-041,143,86,59.84,143,22764,137895,0.63,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,42,2019-BANJARMASIN BARAT-BASIRIH-042,290,219,75.5,290,22764,137895,1.27,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,43,2019-BANJARMASIN BARAT-BASIRIH-043,282,161,57.2,282,22764,137895,1.24,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,44,2019-BANJARMASIN BARAT-BASIRIH-044,234,189,80.97,234,22764,137895,1.03,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,45,2019-BANJARMASIN BARAT-BASIRIH-045,149,93,62.61,149,22764,137895,0.65,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,46,2019-BANJARMASIN BARAT-BASIRIH-046,299,226,75.43,299,22764,137895,1.31,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,47,2019-BANJARMASIN BARAT-BASIRIH-047,279,193,69.34,279,22764,137895,1.23,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,48,2019-BANJARMASIN BARAT-BASIRIH-048,286,239,83.61,286,22764,137895,1.26,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,49,2019-BANJARMASIN BARAT-BASIRIH-049,229,181,78.91,229,22764,137895,1.01,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,50,2019-BANJARMASIN BARAT-BASIRIH-050,208,166,79.63,208,22764,137895,0.91,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,51,2019-BANJARMASIN BARAT-BASIRIH-051,207,173,83.42,207,22764,137895,0.91,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,52,2019-BANJARMASIN BARAT-BASIRIH-052,216,182,84.39,216,22764,137895,0.95,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,53,2019-BANJARMASIN BARAT-BASIRIH-053,228,172,75.32,228,22764,137895,1.0,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,54,2019-BANJARMASIN BARAT-BASIRIH-054,194,132,68.18,194,22764,137895,0.85,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,55,2019-BANJARMASIN BARAT-BASIRIH-055,234,195,83.53,234,22764,137895,1.03,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,56,2019-BANJARMASIN BARAT-BASIRIH-056,217,160,73.84,217,22764,137895,0.95,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,57,2019-BANJARMASIN BARAT-BASIRIH-057,232,182,78.26,232,22764,137895,1.02,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,58,2019-BANJARMASIN BARAT-BASIRIH-058,236,164,69.65,236,22764,137895,1.04,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,59,2019-BANJARMASIN BARAT-BASIRIH-059,213,156,73.43,213,22764,137895,0.94,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,60,2019-BANJARMASIN BARAT-BASIRIH-060,277,171,61.56,277,22764,137895,1.22,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2019,BANJARMASIN BARAT,BASIRIH,61,2019-BANJARMASIN BARAT-BASIRIH-061,201,131,65.15,201,22764,137895,0.88,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
