tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,penduduk_total_kecamatan,rasio_dpt_terhadap_penduduk_kelurahan,pendapatan_per_kapita,tingkat_pengangguran,kepadatan_penduduk,ipm,jumlah_usia_17_24_kec,jumlah_usia_25_44_kec,jumlah_usia_45_plus_kec,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2024,BANJARMASIN BARAT,KUIN CERUCUK,51,2024-BANJARMASIN BARAT-KUIN CERUCUK-051,213,166,77.93,213,17539,137895,1.21,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN CERUCUK,52,2024-BANJARMASIN BARAT-KUIN CERUCUK-052,179,112,62.57,179,17539,137895,1.02,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN CERUCUK,53,2024-BANJARMASIN BARAT-KUIN CERUCUK-053,197,167,84.77,197,17539,137895,1.12,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN CERUCUK,54,2024-BANJARMASIN BARAT-KUIN CERUCUK-054,224,206,91.96,224,17539,137895,1.28,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,1,2024-BANJARMASIN BARAT-KUIN SELATAN-001,284,213,75,284,11581,137895,2.45,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,2,2024-BANJARMASIN BARAT-KUIN SELATAN-002,290,195,67.24,290,11581,137895,2.5,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,3,2024-BANJARMASIN BARAT-KUIN SELATAN-003,287,214,74.56,287,11581,137895,2.48,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,4,2024-BANJARMASIN BARAT-KUIN SELATAN-004,239,198,82.85,239,11581,137895,2.06,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,5,2024-BANJARMASIN BARAT-KUIN SELATAN-005,287,238,82.93,287,11581,137895,2.48,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,6,2024-BANJARMASIN BARAT-KUIN SELATAN-006,287,220,76.66,287,11581,137895,2.48,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,7,2024-BANJARMASIN BARAT-KUIN SELATAN-007,282,215,76.24,282,11581,137895,2.44,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,8,2024-BANJARMASIN BARAT-KUIN SELATAN-008,281,200,71.17,281,11581,137895,2.43,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN SELATAN,9,2024-BANJARMASIN BARAT-KUIN SELATAN-009,275,189,68.73,275,11581,137895,2.37,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
